"Gaji Bulan Desember","Menerima","Tanggungan","GENDER","Status Penerima Bantuan"
"500000","300000","2","0","1"
"3900000","0","4","1","0"
"4600000","0","4","1","0"
"750000","0","2","1","0"
"300000","300000","2","0","1"
"3000000","0","3","0","0"
"3700000","0","3","1","0"
"4300000","0","1","1","0"
"550000","300000","3","0","1"
"450000","300000","1","0","1"
"450000","300000","2","0","1"
"450000","300000","2","0","1"
"3900000","0","1","1","0"
"5600000","0","2","0","0"
"350000","300000","1","1","1"
"550000","300000","2","0","1"
"500000","300000","2","0","1"
"6000000","0","1","1","0"
"5400000","0","2","0","0"
"6400000","0","1","0","0"
"450000","300000","2","0","1"
"750000","300000","2","1","0"
"1000000","0","2","0","0"
"1200000","0","3","1","0"
"1200000","0","2","1","0"
"1200000","0","3","0","0"
"330000","300000","2","1","1"
"464000","300000","1","1","1"
"591300","300000","1","0","1"
"1000000","1","3","1","0"
"460000","300000","2","1","1"
"550000","300000","2","1","1"
"730000","300000","2","1","1"
"500000","300000","2","1","1"
"500000","300000","2","0","1"
"5700000","0","1","1","0"
"6300000","0","2","0","0"
"5500000","0","1","0","0"
"380000","300000","4","0","1"
"500000","300000","4","0","1"
"375000","300000","3","1","1"
"670500","300000","3","1","1"
"460000","300000","3","0","1"
"5600000","0","3","0","0"
"5700000","1","3","0","0"
"6100000","1","3","1","0"
"720000","300000","3","1","1"
"6600000","0","1","0","0"
"900000","0","3","0","0"
"8100000","1","2","1","0"
"9300000","0","2","1","0"
"750000","1","2","1","0"
"615000","300000","1","1","1"
"6700000","0","2","0","0"
"8300000","0","2","1","0"
"700000","300000","1","0","1"
"1040000","0","2","0","0"
"770000","0","1","1","0"
"1200000","1","2","0","0"
"400000","300000","3","1","1"
"665000","300000","2","1","1"
"745000","300000","3","1","1"
"1210000","0","2","1","0"
"1210000","0","3","1","0"
"1450000","1","2","1","0"
"1000000","1","1","1","0"
"1180000","0","1","1","0"
"570000","300000","3","0","1"
"917500","0","1","1","0"
"760000","0","2","0","0"
"1000000","1","2","1","0"
"890000","0","2","0","0"
"950000","0","2","0","0"
"850000","1","1","1","0"
"802500","1","2","1","0"
"1130000","0","2","1","0"
"745000","300000","4","0","1"
"1250000","0","3","1","0"
"1560000","0","3","0","0"
"885000","0","3","0","0"
"1200000","0","3","0","0"
"2100000","1","3","0","0"
"3300000","1","3","0","0"
"3000000","1","3","1","0"
"2750000","0","3","1","0"
"4700000","1","1","0","0"
"995000","0","2","1","0"
"1900000","0","2","0","0"
"1250000","0","2","1","0"
"1800000","0","2","1","0"
"1400000","0","1","1","0"
"1400000","0","2","0","0"
"1850000","1","2","1","0"
"750000","0","2","0","0"
"550000","300000","2","0","1"
"3100000","1","1","0","0"
"3500000","1","2","0","0"
"4000000","1","3","1","0"
"1700000","1","2","1","0"
"575000","300000","3","1","1"
"467000","300000","2","1","1"
"660000","300000","1","0","1"
"4200000","0","4","1","0"
"3000000","0","1","1","0"
"5700000","0","1","0","0"
"6100000","0","3","0","0"
"4300000","0","2","0","0"
"5200000","0","2","0","0"
"5000000","0","2","1","0"
"460000","300000","2","0","1"
"700000","300000","2","1","1"
"705000","300000","1","0","1"
"448500","300000","2","0","1"
"1700000","0","2","0","0"
"1400000","0","4","0","0"
"2000000","0","3","0","0"
"660000","300000","3","0","1"
"700000","300000","3","0","1"
"527000","300000","3","0","1"
"612000","300000","3","1","1"
"435000","300000","3","0","1"
"1710000","1","3","0","0"
"900000","0","3","1","0"
"3750000","0","1","1","0"
"925000","0","2","1","0"
"5200000","0","2","1","0"
"1177000","0","2","1","0"
"975000","0","2","1","0"
"1006000","0","1","1","0"
"917500","0","3","1","0"
"745000","300000","2","1","1"
"2100000","0","1","1","0"
"765400","0","2","0","0"
"584000","300000","1","0","1"
"1000000","0","2","1","0"
"576500","300000","3","0","1"
"474000","300000","2","1","1"
"3550000","1","3","0","0"
"5750000","0","2","1","0"
"4300000","0","3","0","0"
"576000","300000","2","0","1"
"2400000","0","1","1","0"
"3000000","0","1","1","0"
"3100000","0","3","1","0"
"3800000","0","2","0","0"
"770000","0","2","1","0"
"645500","300000","2","1","1"
"520000","300000","2","1","1"
"4000000","1","2","1","0"
"5200000","1","1","0","0"
